,gameId,umpire
0,20210403SSWO02021,최수원
1,20210404HHKT02021,전일수
2,20210404HTOB02021,이영재
3,20210404LGNC02021,박기택
4,20210404LTSK02021,강광회
5,20210404SSWO02021,김익수
6,20210406HHSK02021,우효동
7,20210406HTWO02021,김정국
8,20210406LGKT02021,김준희
9,20210406LTNC02021,이기중
10,20210406SSOB02021,김병주
11,20210407HHSK02021,김성철
12,20210407HTWO02021,나광남
13,20210407LGKT02021,권영철
14,20210407LTNC02021,문동균
15,20210407SSOB02021,윤상원
16,20210408HHSK02021,배병두
17,20210408HTWO02021,차정구
18,20210408LGKT02021,이용혁
19,20210408LTNC02021,박종철
20,20210408SSOB02021,박근영
21,20210409KTSS02021,구명환
22,20210409NCHT02021,최수원
23,20210409OBHH02021,이민호
24,20210409SKLG02021,추평호
25,20210409WOLT02021,문승훈
26,20210410KTSS02021,이영재
27,20210410NCHT02021,김익수
28,20210410OBHH02021,김선수
29,20210410SKLG02021,유덕형
30,20210410WOLT02021,송수근
31,20210411KTSS02021,이기중
32,20210411NCHT02021,우효동
33,20210411OBHH02021,강광회
34,20210411SKLG02021,전일수
35,20210411WOLT02021,김병주
36,20210413HHSS02021,윤태수
37,20210413KTOB02021,김정국
38,20210413LGWO02021,김성철
39,20210413LTHT02021,김준희
40,20210413NCSK02021,윤상원
41,20210414HHSS02021,오훈규
42,20210414KTOB02021,나광남
43,20210414LGWO02021,배병두
44,20210414LTHT02021,권영철
45,20210414NCSK02021,박근영
46,20210415HHSS02021,원현식
47,20210415KTOB02021,차정구
48,20210415LGWO02021,최수원
49,20210415LTHT02021,이용혁
50,20210415NCSK02021,문승훈
51,20210416HHNC02021,추평호
52,20210416HTSK02021,정종수
53,20210416SSLT02021,김익수
54,20210416WOKT02021,이민호
55,20210417HHNC02021,유덕형
56,20210417HTSK02021,박기택
57,20210417SSLT02021,우효동
58,20210417WOKT02021,김선수
59,20210418HHNC02021,전일수
60,20210418HTSK02021,윤태수
61,20210418SSLT02021,김성철
62,20210418WOKT02021,김준희
63,20210420HTLG02021,문동균
64,20210420KTNC02021,배병두
65,20210420SKSS02021,권영철
66,20210420WOHH02021,박근영
67,20210421HTLG02021,박종철
68,20210421KTNC02021,최수원
69,20210421SKSS02021,이용혁
70,20210421WOHH02021,김태완
71,20210422HTLG02021,구명환
72,20210422KTNC02021,김익수
73,20210422SKSS02021,강광회
74,20210422WOHH02021,문승훈
75,20210423LGHH02021,박기택
76,20210423LTKT02021,이영재
77,20210423NCOB02021,이민호
78,20210423SKWO02021,우효동
79,20210423SSHT02021,송수근
80,20210424LGHH02021,윤태수
81,20210424LTKT02021,이기중
82,20210424NCOB02021,김준희
83,20210424SKWO02021,최영주
84,20210424SSHT02021,김병주
85,20210425LGHH02021,오훈규
86,20210425LTKT02021,문동균
87,20210425NCOB02021,권영철
88,20210425SKWO02021,김성철
89,20210425SSHT02021,윤상원
90,20210427HHHT02021,김정국
91,20210427KTSK02021,박근영
92,20210427LTLG02021,배병두
93,20210427NCSS02021,원현식
94,20210427OBWO02021,박종철
95,20210428HHHT02021,나광남
96,20210428KTSK02021,김태완
97,20210428LTLG02021,최수원
98,20210428NCSS02021,정종수
99,20210428OBWO02021,구명환
100,20210429HHHT02021,추평호
101,20210429KTSK02021,문승훈
102,20210429LTLG02021,김익수
103,20210429NCSS02021,박기택
104,20210429OBWO02021,이영재
105,20210430HHLT02021,송수근
106,20210430HTKT02021,우효동
107,20210430LGSS02021,이기중
108,20210430SKOB02021,윤태수
109,20210430WONC02021,유덕형
110,20210501HHLT02021,김병주
111,20210501HTKT02021,최영주
112,20210501LGSS02021,문동균
113,20210501SKOB02021,오훈규
114,20210501WONC02021,전일수
115,20210502HHLT02021,윤상원
116,20210502HTKT02021,김성철
117,20210502LGSS02021,박종철
118,20210502SKOB02021,원현식
119,20210502WONC02021,김정국
120,20210505HTLT02021,구명환
121,20210505KTWO02021,정종수
122,20210505LGOB02021,이용혁
123,20210505SKNC02021,박근영
124,20210505SSHH02021,나광남
125,20210506HTLT02021,이영재
126,20210506KTWO02021,박기택
127,20210506LGOB02021,이민호
128,20210506SKNC02021,문승훈
129,20210506SSHH02021,추평호
130,20210507LTSS02021,송수근
131,20210508HHLG02021,윤태수
132,20210508LTSS02021,김병주
133,20210508NCKT02021,이기중
134,20210508OBHT02021,유덕형
135,20210508WOSK02021,권영철
136,20210509HHLG12021,오훈규
137,20210509HHLG22021,김갑수
138,20210509LTSS02021,윤상원
139,20210509NCKT12021,문동균
140,20210509OBHT12021,전일수
141,20210509OBHT22021,김정국
142,20210509WOSK12021,김준희
143,20210509WOSK22021,강광회
144,20210511LGHT02021,박종철
145,20210511NCHH02021,이용혁
146,20210511SKLT02021,나광남
147,20210511SSKT02021,원현식
148,20210511WOOB02021,배병두
149,20210512LGHT02021,구명환
150,20210512NCHH02021,이민호
151,20210512SKLT02021,추평호
152,20210512SSKT02021,정종수
153,20210512WOOB02021,최수원
154,20210513LGHT02021,이영재
155,20210513NCHH02021,권영철
156,20210513SKLT02021,유덕형
157,20210513SSKT02021,박기택
158,20210513WOOB02021,김익수
159,20210514HHWO02021,전일수
160,20210514HTNC02021,윤태수
161,20210514KTLT02021,김준희
162,20210514OBSK02021,이기중
163,20210514SSLG02021,우효동
164,20210515HHWO02021,김정국
165,20210515HTNC02021,오훈규
166,20210515KTLT02021,강광회
167,20210515SSLG02021,김성철
168,20210516HHWO02021,나광남
169,20210517OBSK02021,문동균
170,20210517SSLG02021,배병두
171,20210518LTHH02021,박종철
172,20210518NCLG02021,추평호
173,20210518OBKT02021,박근영
