pcode,name,birth,age,height,weight,pitch_type,team
62415,박해민,19900224,34,180.0,75.0,RO,LG
66108,홍창기,19931121,30,189.0,94.0,RO,LG
65905,최승민,19960701,27,181.0,73.0,RO,LG
76290,김현수,19880112,36,188.0,105.0,RO,LG
69100,구본혁,19970111,27,177.0,75.0,RO,LG
53123,오스틴,19931014,30,183.0,97.0,RO,LG
79109,오지환,19900312,34,185.0,80.0,RO,LG
69102,문보경,20000719,23,182.0,88.0,RO,LG
77243,허도환,19840731,39,176.0,90.0,RO,LG
79365,박동원,19900407,34,178.0,92.0,RO,LG
68119,문성주,19970220,27,175.0,78.0,LO,LG
65207,신민재,19960121,28,171.0,67.0,RO,LG
54134,엔스,19910516,33,185.0,95.0,LO,LG
75867,김진성,19850307,39,186.0,90.0,RO,LG
53139,박명근,20040327,20,174.0,75.0,RU,LG
61145,이우찬,19920804,31,185.0,97.0,LO,LG
68743,정은원,20000117,24,177.0,84.0,RO,한화
54730,페라자,19981110,25,175.0,88.0,RO,한화
79608,안치홍,19900702,33,178.0,97.0,RO,한화
69737,노시환,20001203,23,185.0,105.0,RO,한화
79192,채은성,19900206,34,186.0,92.0,RO,한화
53764,문현빈,20040420,20,174.0,82.0,RO,한화
71837,김강민,19820913,41,182.0,87.0,RO,한화
66704,김태연,19970610,26,178.0,96.0,RO,한화
62700,하주석,19940225,30,185.0,92.0,RO,한화
78288,최재훈,19890827,34,178.0,94.0,RO,한화
76715,류현진,19870325,37,190.0,113.0,LO,한화
60768,이태양,19900703,33,192.0,97.0,RO,한화
51715,김기중,20021116,21,186.0,96.0,LO,한화
61666,한승혁,19930103,31,185.0,100.0,RO,한화
65616,이민우,19930209,31,185.0,104.0,RO,한화
50726,한승주,20010317,23,184.0,83.0,RO,한화
50854,최지훈,19970723,26,178.0,82.0,RO,SSG
69813,하재훈,19901029,33,182.0,90.0,RO,SSG
51817,추신수,19820713,41,180.0,97.0,LO,SSG
75847,최정,19870228,37,180.0,90.0,RO,SSG
62895,한유섬,19890809,34,190.0,105.0,RO,SSG
53827,에레디아,19910131,33,178.0,88.0,LO,SSG
67893,박성한,19980330,26,180.0,77.0,RO,SSG
60558,오태곤,19911118,32,186.0,88.0,RO,SSG
50820,전의산,20001125,23,188.0,98.0,RO,SSG
79456,이지영,19860227,38,177.0,88.0,RO,SSG
76802,김성현,19870309,37,172.0,72.0,RO,SSG
77829,김광현,19880722,35,188.0,88.0,LO,SSG
50859,오원석,20010423,23,182.0,80.0,LO,SSG
72523,고효준,19830208,41,179.0,81.0,LO,SSG
73211,노경은,19840311,40,187.0,100.0,RO,SSG
62869,문승원,19891128,34,180.0,88.0,RO,SSG
52591,윤동희,20030918,20,187.0,85.0,RO,롯데
69517,고승민,20000811,23,189.0,92.0,RO,롯데
